Country Name;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Autriche;41740.1149241758;44171.5618687028;46156.4832073037;47519.8522796571;48355.4977624407;49549.3162311441;52397.8635176673;53869.8321183555;56636.4953030539;60354.9279422121;58523.0337816244;63576.2416254062;71101.0667168287;73134.7854032466
Azerbaïdjan;14680.8741446231;14804.5744507911;15994.1466501836;17267.5118919537;17563.6122454385;15075.2726347911;14535.8020210633;14315.929643106;15282.9995232298;16675.3179361558;15163.5703327282;20111.3756952109;22552.114937879;23597.8378621757
Burundi;613.649848950212;628.667677982637;638.873181633008;687.365920077706;724.360357491385;797.426234406883;771.987433717541;761.26925722129;753.455516066195;779.197990653363;786.515830674648;836.665571337829;888.518158386928;919.906646235639
Belgique;39844.4054386496;41244.8495035213;42483.5250666788;43864.1204196838;45147.6429534057;46071.914889496;48414.5518065681;50256.0631772784;52466.7330784599;56712.4695719782;56120.0958420466;61873.9649551893;69456.869820456;72070.7590599945
Bénin;2220.32854609324;2264.84186926384;2346.08416204547;2511.65309588333;2670.41561399187;2725.33724817144;2842.0246258376;2885.89383987721;2965.30628143664;3148.97969597838;3244.58772756805;3464.2886286745;3844.16493382584;4129.97941493295
Burkina Faso;1449.42216381509;1531.34338243982;1571.83884477315;1642.89213125776;1661.31773793757;1691.57935387408;1881.75893134407;2042.40295259917;2073.3235382155;2232.16282016585;2380.72282781802;2486.43093147762;2641.87011276969;2754.71346543425
Bangladesh;2833.69544366101;3051.26983271811;3434.27815090447;3691.10431102117;3972.50647733491;4212.23578089428;4579.13228682862;4882.60692615639;5490.15881865179;6047.12401504125;6640.58437331062;7441.06913961254;8450.54902533944;9147.77750665547
Bulgarie;14955.2598312277;15746.5388955975;16326.4315317425;16648.5069292721;17615.1088943583;18384.753572458;20064.9079467146;21455.8754961753;22976.2909017038;25433.9001637477;25862.2931027806;29536.678063191;34625.471422114;38904.918552163
Bahreïn;49254.5770079436;52677.4511190668;56712.5692656153;56310.3117458189;54299.0564613228;48034.2468880503;47428.9018907649;50184.5005767301;51993.1307818652;56599.5214364411;53436.0316999712;54954.6757895532;61562.1414837823;63497.6169362333
Bahamas;30125.760841879;30582.0473124073;31100.5660768195;30127.5454307017;31321.7025136306;31687.724047011;31916.2517635492;33703.2226750049;34668.809181369;35406.5739124983;26141.4530002473;29340.4723479708;34719.2847669033;36742.0620432456
